user_name,rating_star,date,comment,comment_likes
timtamtitus,★★★½,18 Jun 2025,"Radio: “Box, Box, Box!”
Brad Pitt: “WHAT’S IN THE BOX”","27,045 likes"
shrekfan1234,★★★★,23 Jun 2025,can’t wait for F2,"20,087 likes"
Adam,★★½,16 Jun 2025,So when Brad Pitt crashes a bunch of cars it’s “the blockbuster event of the summer” but when I do it I’m a “liability” and “an insurance risk.”,"15,447 likes"
hunter strawberry,★★★★½,24 Jun 2025,"how can you explain a generic title like ""f1 the movie"" when ""pitt-stop"" was literally there for the taking","14,065 likes"
anto,★★★★,24 Jun 2025,"me watching an actual F1 race: ‘oh man, this shit is so boring’
me watching this movie: ‘this is absolute cinema’","13,336 likes"
Jake,★★★★,28 Jun 2025,"brad pitt: i'm going to crash every car you own.
javier bardem: LISAN AL GAIB","11,757 likes"
Reece,★★★★,16 Jun 2025,"85% of the movie
**Hans Zimmer’s very own Challengers score blaring over the most exhilarating race car footage ever captured**
10% of the movie
Brad Pitt: “you kids and your damn phones, you just gotta drive man 🤙”
Damson Idris: “shut it bruv, you’re old”
5% of the movie
**Kerry Condon bats her eye lashes**
(is this movie formulaic? yes.
but is the thrills and exhilaration of Formula 1 in a bottle? also yes.)","11,394 likes"
joj66,★★★,26 Jun 2025,Sonny Hayes committing so many on track crimes that the FIA would have him publicly executed,"7,912 likes"
EvanAC,★★★½,25 Jun 2025,🖕,"7,756 likes"
JoshuaCaine,★★★★★,01 Jul 2025,"A brand new F1 film and Ferrari still has a shitbox
~ written by a depressed Ferrari fan","6,650 likes"
Preet,★★★★½,26 Jun 2025,"me, slightly over the speed limit: ""you know, i might be somewhat of an F1 driver myself""","5,727 likes"
Paul Blake,★★★★½,24 Jun 2025,"See, gambling addictions are character building.","5,097 likes"
brooklyn,★★★½,25 Jun 2025,almost walked out when “sonny hayes” overtook charles leclerc,"4,509 likes"
maja 𐙚,★★★★½,25 Jun 2025,carlos sainz in red. CARLOS. SAINZ. IN. RED. 💔,"4,129 likes"
mckenna ୨ৎ,★★★★,28 Jun 2025,me when I play mario kart,"4,086 likes"
noen,★★★,27 Jun 2025,A win for dads everywhere,"3,778 likes"
CinemaJoe,★★★½,26 Jun 2025,"Joseph Kosinski is very good at directing high speed sequences. The human element, maybe not the best. 
I should watch real F1.
Podcast- June 2025 New Movie Recap","3,592 likes"
Sydney🚀,★★★,23 Jun 2025,"Kind of like someone who is super good in bed but otherwise boring as hell, I will be recommending this to everyone I know because yes the racing scenes are big and exhilarating and practical and I like how they use the gray areas of racing to give us something new and use the sport to explore the evolving dynamic between Pitt & Idris… the rest of the movie would be easier to get on board with as a soapy throwback… more","3,259 likes"
George Carmi,★★★★,26 Jun 2025,vroom vroom! FIREWORKS!!,"3,119 likes"
melissaagarzaa,★★★,16 Jun 2025,the FIA clearly don’t exist in this universe,"3,159 likes"
alexcolemann,★★★★,17 Jun 2025,"You’ve seen this underdog story before but you haven’t seen it this exhilarating and with THAT racing. I wanted Top Gun with F1 cars and I got that. Plus, it comes with Kerry Condon and Hans Zimmer — what a massive W.","2,627 likes"
lori ༚༅༚˳🎀,★★★★★,24 Jun 2025,call me a car door because brad pitt could slam me all night,"2,645 likes"
ram<3,★★★★★,26 Jun 2025,welcome back lightning mcqueen and the king,"2,456 likes"
alor,★★★★½,29 Jun 2025,wait lewis hamilton from Cars 2 is in this????,"2,441 likes"
Lenny,★★★,23 Jun 2025,"Good, but would've been much better if one of the drivers had been a cow.","2,126 likes"
Teddy,★★★★★,23 Jun 2025,"Really really enjoyed it. I hadn’t seen the whole thing before only about 40 mins to understand it to write the song. But I loved it. Pure edge of your seat vibe. Think it’s gonna be a big summer blockbuster, but then I guess people have been saying that for ages so what’s new. Anyway it’s good, would recommend. Not a bad end credits song either","2,023 likes"
zoë rose bryant,★★★★½,29 Jun 2025,JOSEPH GOATSINSKI,"1,974 likes"
f,★,18 Jun 2025,61 year old Brad Pitt cosplaying a formula one driver and you want me to take this seriously,"1,877 likes"
SeanChandler,★★★★½,18 Jun 2025,"F1 is the dad movie of the year. 
A sports movie through and through—underdogs, second chances, mentorship—it hits all the familiar beats but executes them with real heart and style.
Brad Pitt is in full movie star mode here: effortless charisma, that “I don’t care but secretly really do” energy. He nails it. The racing sequences are absolutely thrilling—especially in IMAX. You feel like you're right there in the cockpit, every gear shift and near miss ratcheting up the tension.… more","1,787 likes"
andresdwaze,★★★½,21 Jun 2025,"“Could you introduce me to Carlos Sainz”
Felt that","1,829 likes"
matt lynch,★★★½,16 Jun 2025,Enjoy the intrinsic beauty of watching a meticulously designed machine do what it's meant to do.,"1,767 likes"
davidehrlich,★★½,17 Jun 2025,"In a clever flex of corporate synergy, Apple promoted its first summer blockbuster with the release of a haptic trailer that imitates the purr of an F1 engine in the palms of your hands. The clip delivers such well-calibrated vibrations that watching it on an iPhone makes it seem like you’re microdosing 4DX right on the subway, or the toilet, or wherever it is you choose to enjoy the film industry’s latest breakthrough in vertical integration.
But the real potency… more","1,654 likes"
Paul Scheer,★★★½,01 Jul 2025,This Movie is what I think Nicole Kidman means in her AMC speech.,914 likes
jonathan fujii,★★★½,16 Jun 2025,Sweating for 2.5 hours in the summer: the movie,"1,311 likes"
aaron,★★★★★,05 Jul 2025,"as the great charli xcx once said, beep beep so let’s ride",856 likes
Kit Lazer,★★★,26 Jun 2025,"Closer to Gran Turismo than it is Top Gun: Maverick. It’s certainly no Ford V Ferrari. 
Some great vroom vroom scenes but there’s no TRIUMPH. No elation. I’ve never thought this before but Pitt was miscast. 
Instead of Brad Pitt in F1:
Robert Downey, Jr. (very meta) 
Ethan Hawke 
Matt Damon (you disagree & you’re wrong)
Mathew McConaughey (like, was he busy?)
Christian Bale, but he would have made it weird.","1,218 likes"
Marshall 🌞,★★★★½,25 Jun 2025,VROOM FUCKING VROOM BABY,"1,110 likes"
nolan,★★★★½,24 Jun 2025,it takes about 10 seconds to realize this is the dad movie of the year,"1,107 likes"
benoftheweek,★★★★★,27 Jun 2025,this going triple platinum in man caves,"1,045 likes"
Angelica Jade Bastién🪼🌷,★★★,24 Jun 2025,"I hate how much I liked this movie. I was honestly dreading seeing it. But damn it works.  Despite the egregious runtime. Despite the on the record issues I have with its leading man. Despite being so easy going narratively to the point of veering too far into by-the-book territory. Despite its narrative cliches. Despite my quibbles with the ending. 
The film is bombastic, sleek, tense, ecstatically propulsive, perhaps overstuffed with emotional threads that only work as much as they… more","1,013 likes"
Hailli,★★★★,02 Jul 2025,Let me summarize it for you guys: BROOOOOOMMMMMMMMMMMMM VRRROOVROOOVROOOOOMMMMMMMM BROM BROM BROM VRRRROOMMMMMMMMM BROOOOMMMMMMMMM EYYYYYYYYYYY SCCCCKKKKKKEEEEERRRRRRRRRRRR VVVROOOOOMMMMMM EYYYYY EYYYY EYYYYYYYY SCKERRRRRRRRRR BROOOM BROOM BROOOOOMMMMMM BBBBBBRRRR BRRRRR RRRRRRRRRRRRRRRRRRR SSSSKKKURRRR SKKKURRRR BBRRROOMMMM BROOOM BROOOOOMMMMMMMMM,691 likes
Killian Morlaes,★★★★½,23 Jun 2025,"There's a part of me that believes I look like Brad Pitt in his F1 car when overtaking on the highway.
2025 Ranking",938 likes
MovieFella,★★★★★,26 Jun 2025,(Brad) PITT STOP,936 likes
Tyler Whitmore,★★½,28 Jun 2025,"F1 The Movie is like theme park rides at Universal Studios where you have to sit through some of the most excruciatingly bland, tropey, cliché dialogue and characters who don't seem all that interested to be there while you wait in line for the quick thrill of the coaster.
 
I don't know. The racing scenes were electric, and the sound design was exhilarating. Certainly an event film that must be seen in a theater for maximum effect. I didn't… more",905 likes
bre,★★★,27 Jun 2025,as if lewis hamilton did not already have enough trauma in abu dhabi in real life,897 likes
Jake Alda Coffey,★★★★,28 Jan 2025,This is basically the Formula 1 version of Moneyball.,831 likes
john,★★★★½,25 Jun 2025,"DILF SUMMER IS IN FULL SWING NOW, BABY",808 likes
MovieFella,★★★★★,1 Jul 2025,"Both Brad Pitt and Damson Idris are gorgeous, but what If I told you that you can only F1?",818 likes
David Chen,★★★★,25 Jun 2025,The resolution of the onscreen IMAX image for this movie was so sharp that it might’ve made my eyes bleed,746 likes
cerys,★★★½,26 Jun 2025,"for sure to be the film of the summer in the same ways that maverick was the film of summer ‘22. such a blast with a standout score from hans zimmer and breakout performance from damson idris. i haven’t been this glued to a screen in months, this felt like the quickest 3 hours of my life (complementary). it feels like it has some real stakes, despite the incredibly predictable ending. it’s a shame they reduced simone ashley to a… more",726 likes
Sophie Holsinger,★★★★,26 Jun 2025,"My favorite part about this is that despite the abundance of racing it never ever feels repetitive thanks to an exciting mix of camera angles, editing decisions, and musical arrangements. The story is probably too sentimental and ~formulaic~ but (let’s be real) that’s often okay with me especially when it still has the ability to take my breath away. I am but a simple loud movie-loving woman.",717 likes
Néo Di Giorgio,★,23 Jun 2025,"le film l’air de dire : je suis un HOMME triste. ma TESTOSTÉRONE n’est pas assez élevée, j’ai donc besoin d’autres VOITURES DE COURSES extrêmement CHÈRES parce que je suis un HOMME très RICHE. aussi je suis un HOMME qui a deja fait des COURSES DE VOITURES auparavant et cela me manque d’être CONNU. ah oui et des personnages féminins feront partie du film. je souhaite un excellent film à tous les HOMMES qui aiment les VOITURES DE COURSES ainsi que la TESTOSTÉRONE",699 likes
Katey Rich,★★★½,26 Jun 2025,"Power rankings:
10. The fireworks budget 
9. All the knitwear (a surprising amount of it for a movie about people in racing uniforms)
8. The amount of time I spent wondering if Expensify is a real company (it is)
7. The bracelets Tobias Menzies’s character uses to let you know he sucks
6. Samson Kayo’s Gucci sunglasses 
5. Kerry Condon saying “tequila”
4. Javier Bardem saying “corporate espionage”
3. Brad Pitt’s crow’s feet
2. Cameras mounted on cars! What a concept!
1. My audience’s spontaneous applause when Brad Pitt walked on to the racetrack at a pivotal moment.",642 likes
𝐉,★★★★,27 Jun 2025,"If you’re going to watch this movie and you’re part of F1 fanbase, please leave your technical F1 brain at home.
If you don’t, you won’t enjoy it. You’ll miss out on the insane sound design/cinematography, etc.
See it as a movie, that’s when it hits different.",636 likes
Caden Mayhew🪽,★★★★½,27 Jun 2025,i have a penis of course i think this is the greatest thing ever made (i have never watched an F1 race in my life),609 likes
frejaoneill,★★★★½,25 Jun 2025,i absolutely hate driving but this film makes driving look fun,596 likes
justinwuah,★★★½,16 Jun 2025,i actually need damson idris in more movies. casting directors please get your asses up and work!!!!!,595 likes
Joel,★★★★,25 Jun 2025,"Basically Ted Lasso with incredible racing scenes and a Hans Zimmer score.
Really loved it. Yeah it’s a bit predictable but who cares, it’s funny, intense, hits on all its emotional beats.
Great summer blockbuster!",580 likes
Bobby Wagner,★★★,04 Jul 2025,"on the one hand, this movie feels hacked to bits. on the other hand, it has Kerry Condon wearing an IWC Mark XX for two and a half hours, so it’s impossible to say whether it’s bad or not",384 likes
PaulWHauser,★★½,28 Jul 2025,"Goin fast. No rules. No limits. No regrets. Leave em in the dirt, tastin your dust. Sayonara, suckers. Now fling those playing cards until trouble finds you again, meaning you’ll hafta find YOURSELF. Because danger. Is. Sexy.
Goin fast.",165 likes
basty2049,★★★★,29 Jul 2025,"I liked the fireworks, the cars, and Damson Idris. Yeah, I definitely need more of that in my life, for sure.
8 Cards of 10",159 likes
JackFolla,★★★,27 Jun 2025,"If it had been called ""Car Racing the Movie"" there would have been no problems but the movie literally has F1 in the name and then:
-The races have a pace and dynamics totally opposite to the current Formula 1
-The story of the sixty-year-old who returns to the highest levels after years is the furthest thing from the current F1, where you have a second (and often even a first) chance only if you have money and where physical… more",521 likes
