user_name,rating_star,date,comment,comment_likes
justinwuah,★★★★★,07 Jul 2025,OH MY GOD... call me gal gadot the way i don't know how to act rn,"84,899 likes"
neorapp,★★★½,10 Jul 2025,he's bald and he's torturing people who have hair,"68,098 likes"
anto,★★★★½,08 Jul 2025,Zack Snyder’s Superman found dead in a ditch,"30,216 likes"
Reece,★★★★,07 Jul 2025,,"28,789 likes"
alexcolemann,★★★★★,07 Jul 2025,"It doesn’t get more Superman than this. Cut from the same cloth as Sam Raimi’s Spider-Man in the purest, most sincere and hopeful way. Genuine delight to my eyes I’m smiling ear to ear typing this. In love with the lived in superhero world and with the way Gunn teases the future… I NEED THE WHOLE LOAD NOW. Corenswet and Brosnahan nailed it — that really is Clark and Lois. Lex Luthor might’ve stolen the show for me, Hoult displays… more","23,462 likes"
coop,★★★★,07 Jul 2025,all the money and science in the world and my guy still bald.. i’d be upset too,"19,512 likes"
timtamtitus,★★★★½,12 Jul 2025,,"18,445 likes"
Maaapple,★★★★★,08 Jul 2025,#UNLOADTHEGUNN #COCKTHATGUNN #HELDATGUNNPOINT,"17,163 likes"
sam,★★★★,11 Jul 2025,finally a superman that acts like he was raised by the kent’s and not by the devil himself (im looking at you zack snyder),"16,463 likes"
JoshuaCaine,★★★★,4 Jul 2025,The type of movie that makes a mf wanna do community service,"16,260 likes"
ConnorEatsPants,★★★½,11 Jul 2025,,"13,528 likes"
James (Schaffrillas),★★★½,10 Jul 2025,Did Lex just call Superman a groomer,"11,461 likes"
⋆ ˚｡⋆୨୧˚ mak ˚୨୧⋆｡˚ ⋆,★★★★,07 Jul 2025,i’m starting to think james gunn made david corenswet in a lab to play superman. he’s just Too good,"11,070 likes"
Evan,★★★★★,07 Jul 2025,Yeah holy fucking shit this rips. As a noted modern cbm hater I genuinely think this is the best one. It has such a unique visual identity that I absolutely loved. About as far left as a comic book movie could be. We have reached new levels of we are so back that have never been seen before. Very anti Israel which is awesome to see from a major studio blockbuster. Gunn is the best comic director,"9,190 likes"
David Sims,★★★★½,02 Jul 2025,Superman is real and he's my friend,"9,220 likes"
matt lynch,★★★½,07 Jul 2025,"He really GUARDIANSed up the Man of Steel. Undeniably a James Gunn movie, for better or worse. Works way more than it doesn't. The dog rules.","8,571 likes"
Troy,★★★★★,08 Jul 2025,"Like 5 times throughout this movie I said under my breath “holy shit that’s Superman”
Full Review: youtu.be/keUj5zexFcM","8,148 likes"
SilentDawn,★★★★,08 Jul 2025,"80
Just like Krypto the superdog, this movie is a bit unruly, but that's exactly what makes it so adorable. Operates as a vintage splash page of gods and monsters, with the usual James Gunn flavors - wacky creatures, naive heroes and relentlessly cruel villains, not to mention the dose of Parental Trauma - working in tandem with DC's new MO. I like that this is barely over two hours long, as its tone shifts rapidly from workplace screwball romance… more","7,726 likes"
zoë rose bryant,★★★★½,11 Jul 2025,the concept of a parent having to explain what a harem is to their child after watching this,"7,239 likes"
David Sims,★★★★★,10 Jul 2025,i’m a punk rocker yes I am,"7,113 likes"
ValTheMovieGuy,★★★★½,09 Jul 2025,"It’s a bird!
It’s a plane!
It’s actually a well-written Superman film?","6,808 likes"
Matt Singer,★★★★,08 Jul 2025,"For the last 20 years, the predominant cinematic image of Superman has been one of a Christlike martyr sent to Earth to suffer for the sins of a world he does not belong in and can never fully understand. James Gunn’s Superman flips that script. His Man of Steel is just ... a man. Strong, yes. But not absurdly shredded with muscles on top of more muscles. Durable, sure. But not indestructible. In fact, what struck me most about Gunn’s… more","6,447 likes"
alexcolemann,★★★★★,08 Jul 2025,"1A 1A 1A 1A all the Luthor cultists said in unison as this movie turned into Real Steel. Nicholas Hoult take a bow king. I could feel the hatred and vitriol through my screen. Even better he teeters on camp as this absolute maniacal force. “NO NO THEY CHOSE HIM, LET THEM DIE!” He stole the show.","6,121 likes"
cob,★★★★★,08 Jul 2025,not to be dramatic but i would die for krypto,"5,979 likes"
Kit Lazer,★★★★,08 Jul 2025,"What a Terrific movie. Right up my Lane. Even the Krypto bros are going to love it. Just a Super flick to this Guy. Solidly Engineered, heart warming, funny, will surely be added to the great superhero movie Lexicon. Sorry, I meant pantheon. Just a true Metamorphosis from the Snyderverse. 
… 
… 
Hawkgirl.","5,274 likes"
mariano,★★★★,08 Jul 2025,we live in a world where we get to see dora the explorer assassinate netanyahu,"5,737 likes"
George Carmi,★★½,07 Jul 2025,"I take no pleasure in this (even tho this is a very neutral rating and I did have some fun with this) and this might be saddest I’ve walked out of a film in quite some time given the enormity of my excitement and anticipation (and a trailer that literally made me cry tears of joy), but it’s a sunday morning cartoon meant to loosely introduce kindergarteners to world politics and teach them about the importance of being kind. it's… more","4,618 likes"
Wafellow,★★★★½,08 Jul 2025,"Thank you, James Gunn","4,125 likes"
Mia K.,★★★★,12 Jul 2025,“Kindness is punk” 😭😭 YES,"4,287 likes"
mary,★★★,09 Jul 2025,he's just mad cuz he's bald,"4,055 likes"
drew gooden,★★★½,14 Jul 2025,I liked that they gave Superman his own costume so you always knew which one was him! made it a really easy viewing experience,"3,789 likes"
